;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Название;Вид;Способ;Состав;Тип;%;г;р;Масса;Вес ингр-тов;Траты всего;Потери, %;Маржа;Цена за 1 кг;ЧП;Ссылка интернет;Ссылка ПК;Наличие;Примечание;;
Докторская;Колбаса;Вареное;Говядина;Говядина;25,00%;250,00 г;177,50 ₽;3500,00 г;875,00 г;621,24 ₽;15%;70%;355,00 ₽;146,17 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp12;Да;;;
Докторская;Колбаса;Вареное;Лопатка свиная;Свинина;70,00%;700,00 г;258,30 ₽;3500,00 г;2450,00 г;904,05 ₽;15%;70%;516,60 ₽;212,72 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp13;Нет;;;
Докторская;Колбаса;Вареное;Яйцо;Добавки;3,00%;30,00 г;8,80 ₽;3500,00 г;105,00 г;30,80 ₽;;70%;14,96 ₽;6,16 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp14;Да;;;
Докторская;Колбаса;Вареное;Сухое молоко;Добавки;2,00%;20,00 г;10,98 ₽;3500,00 г;70,00 г;38,43 ₽;;70%;18,67 ₽;7,69 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp15;Да;;;
Докторская;Колбаса;Вареное;Соль нитритная;Специи;2,00%;20,00 г;2,56 ₽;3500,00 г;70,00 г;8,96 ₽;;70%;4,35 ₽;1,79 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp17;Да;;;
Докторская;Колбаса;Вареное;Вода;Добавки;10,00%;100,00 г;0,10 ₽;3500,00 г;350,00 г;0,35 ₽;;70%;0,17 ₽;0,07 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp18;Да;;;
Докторская;Колбаса;Вареное;Фосфат;Специи;0,20%;2,00 г;1,50 ₽;3500,00 г;7,00 г;5,24 ₽;;70%;2,54 ₽;1,05 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp19;Да;;;
Докторская;Колбаса;Вареное;Кардамон;Специи;0,05%;0,50 г;0,76 ₽;3500,00 г;1,75 г;2,65 ₽;;70%;1,29 ₽;0,53 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp19;Да;;;
Докторская;Колбаса;Вареное;Полиамидная 80;Оболочка;0,10%;1,00 г;9,74 ₽;3500,00 г;3,50 г;34,08 ₽;;70%;16,55 ₽;6,82 ₽;https://www.youtube.com/watch?v=5gWsIsh4dpM;D:\Video\Колбаса_рецепты\Докторская колбаса ГОСТ 23670-79 в домашних условиях.mp20;Да;;;
Куриные Сырные;Сосиски;Вареное;Грудка куриная;Птица;20,00%;200,00 г;56,00 ₽;3500,00 г;700,00 г;195,99 ₽;15%;70%;112,00 ₽;46,12 ₽;https://www.youtube.com/watch?v=WJ2KT_frzos&t=16s;D:\Video\Колбаса_рецепты\Домашние куриные сосиски с твердым сыром.mp4;Нет;;;
